image_id,status,ocr_tokens,corrector_edits,predicted_tuples,clf_nutrient,clf_quantity,clf_unit,clf_context,clf_via_embedding,vlm_backend,vlm_original_width,vlm_original_height,vlm_width,vlm_height,vlm_image_path,vlm_time_s,vlm_attempts,vlm_last_error,total_processing_time_s,error
1.png,ok,15,5,5,6,5,5,1,9,openai_compat,2682,1600,896,535,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\1_vlm_896x535.jpg,12.44,1,,19.254,
2.png,ok,23,8,14,8,12,8,2,8,openai_compat,2930,1440,896,440,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\2_vlm_896x440.jpg,15.32,1,,18.046,
4.png,ok,100,26,6,38,5,5,1,84,openai_compat,4396,960,896,196,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\4_vlm_896x196.jpg,12.32,1,,20.769,
6.png,ok,15,8,6,6,6,6,1,8,openai_compat,2572,1632,896,569,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\6_vlm_896x569.jpg,9.27,1,,11.456,
8.png,ok,18,3,8,9,6,3,2,10,openai_compat,2098,2048,896,875,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\8_vlm_896x875.jpg,11.35,1,,13.712,
9.jpeg,ok,12,3,4,7,3,3,2,7,openai_compat,325,92,325,92,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\9_vlm_325x92.jpg,7.64,1,,9.519,
12.png,ok,33,18,10,10,17,17,2,13,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\12_vlm_896x597.jpg,18.68,1,,23.526,
15.png,ok,13,4,7,5,0,0,2,9,openai_compat,3098,1376,896,398,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\15_vlm_896x398.jpg,10.1,1,,15.225,
17.png,ok,15,4,4,4,7,4,1,6,openai_compat,2704,1568,896,520,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\17_vlm_896x520.jpg,8.22,1,,10.634,
20.png,ok,116,45,41,28,49,41,3,41,openai_compat,2270,1888,896,745,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\20_vlm_896x745.jpg,67.92,1,,76.948,
26.png,ok,19,7,6,7,7,6,1,11,openai_compat,1536,1024,896,597,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\26_vlm_896x597.jpg,9.2,1,,11.539,
27.png,ok,38,13,18,12,12,11,2,16,openai_compat,1920,2206,780,896,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\27_vlm_780x896.jpg,22.63,1,,26.278,
30.png,ok,29,4,15,7,18,4,2,11,openai_compat,1760,2372,665,896,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\30_vlm_665x896.jpg,16.22,1,,19.455,
33.png,ok,51,23,24,14,24,22,3,15,openai_compat,2098,2048,896,875,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\33_vlm_896x875.jpg,38.77,1,,42.985,
34.png,ok,89,40,40,24,40,41,2,31,openai_compat,1600,2654,540,896,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\34_vlm_540x896.jpg,69.21,1,,75.42,
35.jpeg,ok,10,4,4,3,2,2,2,5,openai_compat,520,130,520,130,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\35_vlm_520x130.jpg,18.45,1,,29.207,
41.png,ok,17,5,7,7,5,4,1,11,openai_compat,2486,1728,896,623,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\41_vlm_896x623.jpg,11.76,1,,16.292,
42.png,ok,25,5,14,7,13,4,2,11,openai_compat,1984,2154,825,896,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\42_vlm_825x896.jpg,16.4,1,,20.404,
51.png,ok,29,15,13,10,16,14,1,12,openai_compat,3174,1312,896,370,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\51_vlm_896x370.jpg,17.42,1,,21.941,
53.png,ok,29,15,8,9,17,15,1,11,openai_compat,3054,1376,896,404,outputs\vlm_lmstudio_vGemma3_7\vlm_resized_images\53_vlm_896x404.jpg,11.89,1,,16.241,
