image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full_pct
1.jpeg,5,5,5,80,100,100,60
101.jpeg,11,10,10,40,90,100,20
102.jpeg,18,14,14,36,86,64,29
103.jpeg,18,14,14,29,86,21,0
104.jpeg,18,16,16,12,69,25,0
105.jpeg,18,12,12,8,67,17,0
106.jpeg,2,8,2,50,0,50,0
107.jpeg,10,16,10,10,60,10,0
108.jpeg,11,10,10,50,90,0,0
109.jpeg,9,8,8,38,88,100,25
110.jpeg,6,3,3,0,100,33,0
111.jpeg,1,2,1,100,0,0,0
112.jpeg,1,2,1,0,0,0,0
113.jpeg,20,12,12,17,83,83,0
114.jpeg,20,13,13,38,92,69,23
115.jpeg,9,8,8,12,62,100,0
116.jpeg,18,12,12,42,92,33,0
117.jpeg,9,5,5,40,60,60,0
118.jpeg,20,11,11,9,73,27,0
119.jpeg,20,9,9,11,100,33,0
12.jpeg,16,2,2,100,0,50,0
120.jpeg,26,44,26,50,69,19,0
121.jpeg,20,15,15,27,87,27,0
15.jpeg,42,1,1,0,100,0,0
17.jpeg,4,8,4,25,50,0,0
2.jpeg,16,14,14,50,86,7,0
20.jpeg,48,11,11,18,91,55,0
201.jpeg,16,7,7,14,100,57,0
26.jpeg,8,22,8,12,50,12,0
27.jpeg,13,0,0,0,0,0,0
30.jpeg,18,13,13,15,38,38,0
33.jpeg,26,19,19,5,84,32,0
34.jpeg,40,23,23,17,83,9,0
35.jpeg,4,3,3,67,67,67,67
4.jpeg,8,17,8,0,62,25,0
41.jpeg,8,10,8,12,62,25,0
42.jpeg,18,5,5,0,100,40,0
45_1.jpeg,18,9,9,11,78,22,0
45_2.jpeg,8,10,8,38,75,25,0
51.jpeg,18,12,12,33,83,50,0
53.jpeg,18,5,5,20,100,80,0
56.jpeg,10,4,4,0,100,75,0
57.jpeg,10,6,6,17,100,50,17
59.jpeg,28,5,5,20,100,60,0
6.jpeg,6,3,3,0,100,33,0
61.jpeg,22,4,4,25,100,25,0
63.jpeg,22,6,6,17,100,33,0
64.jpeg,8,8,8,38,88,62,0
67.jpeg,4,3,3,0,67,0,0
68.jpeg,34,9,9,56,44,67,0
78.jpeg,2,5,2,0,0,0,0
8.jpeg,18,2,2,0,100,0,0
82.jpeg,12,6,6,0,83,17,0
88.jpeg,16,10,10,30,90,20,0
9.jpeg,4,3,3,0,33,67,0
90.jpeg,17,14,14,36,86,43,0
91.jpeg,16,16,16,31,88,25,0
