tag,image_id,gt_nutrient,gt_quantity,gt_unit,gt_context,pred_nutrient,pred_quantity,pred_unit,pred_context,reason
incorrect,1.jpeg,Magnesium (gesamt),400,mg,per_daily_dose,Magnesium,400,mg,,nutrient: specificity rule violated: 'Magnesium' is less specific than 'Magnesium (gesamt)' | context: got None expected per_daily_dose
incorrect,1.jpeg,Magnesiumsalze der Citronensäure,420,mg,per_daily_dose,Magnesium,420,mg,,nutrient: Specific nutrient does not match. | context: got None expected per_daily_dose
missing,1.jpeg,Magnesiumoxid,400,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.jpeg,Magnesiumbisglycinat,350,mg,per_daily_dose,,,,,nutrient not found in predictions
missing,1.jpeg,Magnesiummalat,333,mg,per_daily_dose,,,,,nutrient not found in predictions
incorrect,101.jpeg,Energie,1625,kJ,per_100g,Energie,,,,qty: got None expected 1625 | unit: got None expected kJ | context: got None expected per_100g
missing,101.jpeg,Energie,383,kcal,per_100g,,,,,nutrient not found in predictions
incorrect,101.jpeg,Fett,0.8,g,per_100g,Fett,0.89,,per_100g,qty: got 0.89 expected 0.8 | unit: got None expected g
missing,101.jpeg,- davon gesättigte Fettsäuren,< 0.1,g,per_100g,,,,,nutrient not found in predictions
incorrect,101.jpeg,Kohlenhydrate,86.1,g,per_100g,Kohlenhydrate,86.19,,per_100g,qty: got 86.19 expected 86.1 | unit: got None expected g
incorrect,101.jpeg,- davon Zucker,8.9,g,per_100g,davon Zucker,8.99,,per_100g,qty: got 8.99 expected 8.9 | unit: got None expected g
incorrect,101.jpeg,Ballaststoffe,3.0,g,per_100g,Ballaststoffe,3.09,,per_100g,qty: got 3.09 expected 3.0 | unit: got None expected g
incorrect,101.jpeg,Eiweiß,6.3,g,per_100g,Eiweiß,6.39,,per_100g,qty: got 6.39 expected 6.3 | unit: got None expected g
incorrect,101.jpeg,Salz,0.09,g,per_100g,Salz,0.099,,per_100g,qty: got 0.099 expected 0.09 | unit: got None expected g
incorrect,101.jpeg,Thiamin,0.44,mg,per_100g,Thiamin,,,,qty: got None expected 0.44 | unit: got None expected mg | context: got None expected per_100g
incorrect,102.jpeg,Energie,1502,kJ,per_100g,Energie,,,,qty: got None expected 1502 | unit: got None expected kJ | context: got None expected per_100g
missing,102.jpeg,Energie,356,kcal,per_100g,,,,,nutrient not found in predictions
incorrect,102.jpeg,Fett,7.7,g,per_100g,Fett,,,,qty: got None expected 7.7 | unit: got None expected g | context: got None expected per_100g
incorrect,102.jpeg,- davon gesättigte Fettsäuren,1.1,g,per_100g,Fettsäuren,1.19,,per_100g,qty: got 1.19 expected 1.1 | unit: got None expected g
incorrect,102.jpeg,Kohlenhydrate,63,g,per_100g,Kohlenhydrate,639,,per_100g,qty: got 639 expected 63 | unit: got None expected g
incorrect,102.jpeg,- davon Zucker,31,g,per_100g,davon Zucker,319,,per_100g,qty: got 319 expected 31 | unit: got None expected g
incorrect,102.jpeg,Ballaststoffe,5.1,g,per_100g,Ballaststoffe,5.19,,per_100g,qty: got 5.19 expected 5.1 | unit: got None expected g
incorrect,102.jpeg,Eiweiß,5.9,g,per_100g,Eiweiß,0.149,,per_100g,qty: got 0.149 expected 5.9 | unit: got None expected g
incorrect,102.jpeg,Salz,0.14,g,per_100g,Salz,0.029,,,qty: got 0.029 expected 0.14 | unit: got None expected g | context: got None expected per_100g
missing,102.jpeg,Energie,188,kJ,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
missing,102.jpeg,Energie,45,kcal,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,102.jpeg,Fett,1.0,g,per_serving (1 Riegel* (12.5 g)),Fettsäuren,0.19,,,nutrient: Nutrient 'Fett' does not match 'Fettsäuren'. | qty: got 0.19 expected 1.0 | unit: got None expected g | context: got None expected per_serving (1 Riegel* (12.5 g))
incorrect,102.jpeg,- davon gesättigte Fettsäuren,0.1,g,per_serving (1 Riegel* (12.5 g)),davon gesättigte,7.79,,per_100g,nutrient: Nutrient specificity mismatch: 'davon gesättigte' vs 'davon gesättigte Fettsäuren' | qty: got 7.79 expected 0.1 | unit: got None expected g | context: got per_100g expected per_serving (1 Riegel* (12.5 g))
incorrect,102.jpeg,Kohlenhydrate,7.9,g,per_serving (1 Riegel* (12.5 g)),Kohlenhydrate,7.9,g,,context: got None expected per_serving (1 Riegel* (12.5 g))
incorrect,102.jpeg,- davon Zucker,3.9,g,per_serving (1 Riegel* (12.5 g)),davon Zucker,3.99,,,qty: got 3.99 expected 3.9 | unit: got None expected g | context: got None expected per_serving (1 Riegel* (12.5 g))
incorrect,102.jpeg,Ballaststoffe,0.6,g,per_serving (1 Riegel* (12.5 g)),Ballaststoffe,0.69,,,qty: got 0.69 expected 0.6 | unit: got None expected g | context: got None expected per_serving (1 Riegel* (12.5 g))
incorrect,102.jpeg,Eiweiß,0.7,g,per_serving (1 Riegel* (12.5 g)),Eiweiß,0.79,,,qty: got 0.79 expected 0.7 | unit: got None expected g | context: got None expected per_serving (1 Riegel* (12.5 g))
missing,102.jpeg,Salz,0.02,g,per_serving (1 Riegel* (12.5 g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Energie,1383,kJ,per_100g,Energie,3.7,g,per_100g,qty: got 3.7 expected 1383 | unit: got g expected kJ
incorrect,103.jpeg,Fett,3.7,g,per_100g,Fett,0.49,kcal,,qty: got 0.49 expected 3.7 | unit: got kcal expected g | context: got None expected per_100g
incorrect,103.jpeg,davon gesättigte Fettsäuren,0.4,g,per_100g,Fett,0.49,kcal,per_100g,nutrient: Fett vs davon gesättigte Fettsäuren | qty: got 0.49 expected 0.4 | unit: got kcal expected g
incorrect,103.jpeg,Kohlenhydrate,51,g,per_100g,Kohlenhydrate,0.99,kcal,,qty: got 0.99 expected 51 | unit: got kcal expected g | context: got None expected per_100g
incorrect,103.jpeg,davon Zucker,51,g,per_100g,davon Zucker,,,,qty: got None expected 51 | unit: got None expected g | context: got None expected per_100g
incorrect,103.jpeg,Ballaststoffe,16,g,per_100g,Ballaststoffe,,,,qty: got None expected 16 | unit: got None expected g | context: got None expected per_100g
incorrect,103.jpeg,Eiweiß,7.7,g,per_100g,Eiweiß,,,,qty: got None expected 7.7 | unit: got None expected g | context: got None expected per_100g
incorrect,103.jpeg,Salz,0,g,per_100g,Salz,,,,qty: got None expected 0 | unit: got None expected g | context: got None expected per_100g
incorrect,103.jpeg,Energie,166,kJ,per_serving (pro Port. (12g)),Energie,6.1,g,,qty: got 6.1 expected 166 | unit: got g expected kJ | context: got None expected per_serving (pro Port. (12g))
missing,103.jpeg,Energie,39,kcal,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
incorrect,103.jpeg,Fett,0.4,g,per_serving (pro Port. (12g)),Fett,519,kcal,per_100g,qty: got 519 expected 0.4 | unit: got kcal expected g | context: got per_100g expected per_serving (pro Port. (12g))
incorrect,103.jpeg,davon gesättigte Fettsäuren,0,g,per_serving (pro Port. (12g)),Fettsäuren,1.99,kcal,,nutrient: Specificity rule violated: 'Fettsäuren' is more specific than 'davon gesättigte Fettsäuren' | qty: got 1.99 expected 0 | unit: got kcal expected g | context: got None expected per_serving (pro Port. (12g))
incorrect,103.jpeg,Kohlenhydrate,6.1,g,per_serving (pro Port. (12g)),Kohlenhydrate,7.7,g,per_100g,qty: got 7.7 expected 6.1 | context: got per_100g expected per_serving (pro Port. (12g))
missing,103.jpeg,davon Zucker,6.1,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Ballaststoffe,1.9,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Eiweiß,0.9,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
missing,103.jpeg,Salz,0,g,per_serving (pro Port. (12g)),,,,,nutrient not found in predictions
incorrect,104.jpeg,Energie,1528,kJ,per_100g,Energie,,,,qty: got None expected 1528 | unit: got None expected kJ | context: got None expected per_100g
missing,104.jpeg,Energie,361,kcal,per_100g,,,,,nutrient not found in predictions
incorrect,104.jpeg,Fett,2.6,g,per_100g,Fett,361,kcal,per_100g,qty: got 361 expected 2.6 | unit: got kcal expected g
incorrect,104.jpeg,davon gesättigte Fettsäuren,0.6,g,per_100g,Fettsäuren,0.69,kcal,per_100g,nutrient: specificity rule violated: 'Fettsäuren' vs 'davon gesättigte Fettsäuren' | qty: got 0.69 expected 0.6 | unit: got kcal expected g
incorrect,104.jpeg,Kohlenhydrate,72,g,per_100g,Kohlenhydrate,729,kcal,per_100g,qty: got 729 expected 72 | unit: got kcal expected g
incorrect,104.jpeg,davon Zucker,72,g,per_100g,davon Zucker,729,kcal,per_100g,qty: got 729 expected 72 | unit: got kcal expected g
incorrect,104.jpeg,Ballaststoffe,10,g,per_100g,Ballaststoffe,109,kcal,per_100g,qty: got 109 expected 10 | unit: got kcal expected g
incorrect,104.jpeg,Eiweiß,3.2,g,per_100g,Eiweiß,3.29,kcal,per_100g,qty: got 3.29 expected 3.2 | unit: got kcal expected g
missing,104.jpeg,Energie,214,kJ,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Energie,51,kcal,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
incorrect,104.jpeg,Fett,0,g,per_serving (pro Port. (14g)),Fettsäuren,109,kcal,,nutrient: Nutrient 'Fett' does not match 'Fettsäuren'. | qty: got 109 expected 0 | unit: got kcal expected g | context: got None expected per_serving (pro Port. (14g))
incorrect,104.jpeg,davon gesättigte Fettsäuren,0,g,per_serving (pro Port. (14g)),Fettsäuren,2.69,kcal,per_100g,nutrient: Nutrient does not match due to specificity rule violation. | qty: got 2.69 expected 0 | unit: got kcal expected g | context: got per_100g expected per_serving (pro Port. (14g))
incorrect,104.jpeg,Kohlenhydrate,10,g,per_serving (pro Port. (14g)),Kohlenhydrate,10,g,,context: got None expected per_serving (pro Port. (14g))
missing,104.jpeg,davon Zucker,10,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Ballaststoffe,1.4,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Eiweiß,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,104.jpeg,Salz,0,g,per_serving (pro Port. (14g)),,,,,nutrient not found in predictions
missing,105.jpeg,Energie,1320,kJ,per_100g,,,,,nutrient not found in predictions
missing,105.jpeg,Energie,313,kcal,per_100g,,,,,nutrient not found in predictions
missing,105.jpeg,Fett,2.7,g,per_100g,,,,,nutrient not found in predictions
missing,105.jpeg,- davon gesättigte Fettsäuren,0.4,g,per_100g,,,,,nutrient not found in predictions
incorrect,105.jpeg,Kohlenhydrate,52.1,g,per_100g,Kohlenhydrate,089,,per_serving,qty: got 089 expected 52.1 | unit: got None expected g | context: got per_serving expected per_100g
missing,105.jpeg,- davon Zucker,51.4,g,per_100g,,,,,nutrient not found in predictions
incorrect,105.jpeg,Ballaststoffe,15.5,g,per_100g,Ballaststoffe,15.59,,per_serving,qty: got 15.59 expected 15.5 | unit: got None expected g | context: got per_serving expected per_100g
incorrect,105.jpeg,Eiweiß,7.0,g,per_100g,Eiweiß,7.09,,per_serving,qty: got 7.09 expected 7.0 | unit: got None expected g | context: got per_serving expected per_100g
missing,105.jpeg,Salz,0.03,g,per_100g,,,,,nutrient not found in predictions
missing,105.jpeg,Energie,158,kJ,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.jpeg,Energie,38,kcal,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.jpeg,Fett,0.3,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
missing,105.jpeg,- davon gesättigte Fettsäuren,0.0,g,per_serving (1 Portion* (12 g)),,,,,nutrient not found in predictions
incorrect,105.jpeg,Kohlenhydrate,6.3,g,per_serving (1 Portion* (12 g)),Kohlenhydrate,1.9,g,per_serving,qty: got 1.9 expected 6.3
