image_id,gt,pred,match,qty_pct,unit_pct,ctx_pct,full_pct
1.jpeg,5,5,5,80,100,100,60
101.jpeg,11,10,10,40,90,100,20
102.jpeg,18,14,14,36,86,64,29
103.jpeg,18,14,14,29,79,36,0
104.jpeg,18,16,16,25,62,25,0
105.jpeg,18,12,12,0,75,75,0
106.jpeg,2,8,2,0,0,50,0
107.jpeg,10,16,10,10,60,20,0
108.jpeg,11,10,10,50,90,20,0
109.jpeg,9,8,8,38,88,100,25
110.jpeg,6,3,3,0,100,67,0
111.jpeg,1,2,1,100,0,0,0
112.jpeg,1,2,1,0,100,100,0
113.jpeg,20,12,12,17,83,83,0
114.jpeg,20,13,13,46,92,77,23
115.jpeg,9,8,8,12,62,100,0
116.jpeg,18,12,12,33,92,42,0
117.jpeg,9,5,5,40,40,40,0
118.jpeg,20,11,11,18,64,91,0
119.jpeg,20,9,9,22,100,100,0
12.jpeg,16,2,2,100,0,50,0
120.jpeg,26,44,26,50,73,15,0
121.jpeg,20,13,13,31,92,77,8
15.jpeg,42,1,1,0,100,0,0
17.jpeg,4,8,4,25,50,25,0
2.jpeg,16,14,14,36,86,71,14
20.jpeg,48,11,11,0,100,64,0
201.jpeg,16,9,9,22,100,89,11
26.jpeg,8,28,8,12,50,100,12
27.jpeg,13,0,0,0,0,0,0
30.jpeg,18,13,13,15,38,38,0
33.jpeg,26,19,19,11,79,37,0
34.jpeg,40,23,23,17,83,4,0
35.jpeg,4,3,3,67,67,67,67
4.jpeg,8,22,8,12,62,100,0
41.jpeg,8,10,8,12,62,100,0
42.jpeg,18,6,6,33,50,67,0
45_1.jpeg,18,10,10,20,60,10,0
45_2.jpeg,8,10,8,38,75,100,25
51.jpeg,18,12,12,42,83,58,0
53.jpeg,18,5,5,20,100,80,0
56.jpeg,10,4,4,0,100,100,0
57.jpeg,10,6,6,33,100,83,0
59.jpeg,28,5,5,80,100,40,0
6.jpeg,6,3,3,0,67,33,0
61.jpeg,22,4,4,25,75,25,0
63.jpeg,22,6,6,33,83,67,0
64.jpeg,8,8,8,0,100,50,0
67.jpeg,4,1,1,100,0,100,0
68.jpeg,34,13,13,46,85,31,0
78.jpeg,2,4,2,0,50,0,0
8.jpeg,18,2,2,0,100,0,0
82.jpeg,12,6,6,0,83,17,0
88.jpeg,16,12,12,42,92,25,0
9.jpeg,4,3,3,0,33,0,0
90.jpeg,17,16,16,44,81,31,0
91.jpeg,16,18,16,38,88,38,0
