image_id,nutrient,gold_value,detected,below,above,category,cause
102.png,energy,188.0,1,0,0,C_detected_unmatched,gate_quantity_above
102.png,energy,45.0,1,0,0,C_detected_unmatched,gate_quantity_above
102.png,fat,1.0,1,0,0,C_detected_unmatched,gate_quantity_above
102.png,carbohydrate,7.9,1,0,0,C_detected_unmatched,gate_quantity_above
102.png,sugars,3.9,1,0,0,C_detected_unmatched,gate_quantity_above
102.png,fibre,0.6,1,0,0,C_detected_unmatched,gate_quantity_above
102.png,protein,0.7,1,0,0,C_detected_unmatched,gate_quantity_above
102.png,salt,0.02,1,0,0,C_detected_unmatched,gate_quantity_above
104.jpeg,protein,3.2,1,0,0,C_detected_unmatched,nutrient_mislabelled
104.jpeg,protein,0.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
105.png,energy,158.0,1,0,0,C_detected_unmatched,gate_quantity_above
105.png,carbohydrate,6.3,1,0,0,C_detected_unmatched,gate_quantity_above
105.png,sugars,6.2,1,0,0,C_detected_unmatched,gate_quantity_above
105.png,fibre,1.9,1,0,0,C_detected_unmatched,gate_quantity_above
105.png,protein,0.8,1,0,0,C_detected_unmatched,gate_quantity_above
105.png,salt,0.0,1,0,0,C_detected_unmatched,gate_quantity_above
107.png,pantothenicacid,6.0,1,0,0,C_detected_unmatched,gate_quantity_above
108.jpeg,niacin,16.0,1,0,0,C_detected_unmatched,nutrient_not_detected
111.jpeg,vitaminb12,17.5,1,0,0,C_detected_unmatched,other_residual
112.jpeg,vitaminb12,17.5,1,0,0,C_detected_unmatched,other_residual
113.jpeg,sugars,3.9,1,0,0,C_detected_unmatched,nutrient_mislabelled
113.jpeg,sugars,1.2,1,0,0,C_detected_unmatched,nutrient_mislabelled
114.jpeg,sugars,4.1,1,0,0,C_detected_unmatched,nutrient_mislabelled
114.jpeg,sugars,1.2,1,0,0,C_detected_unmatched,nutrient_mislabelled
115.png,fat,0.0,1,0,0,C_detected_unmatched,gate_quantity_above
115.png,carbohydrate,12.0,1,0,0,C_detected_unmatched,gate_quantity_above
115.png,sugars,10.0,1,0,0,C_detected_unmatched,gate_quantity_above
115.png,fibre,1.6,1,0,0,C_detected_unmatched,gate_quantity_above
115.png,protein,11.0,1,0,0,C_detected_unmatched,gate_quantity_above
115.png,salt,0.05,1,0,0,C_detected_unmatched,gate_quantity_above
116.jpeg,sugars,4.6,1,0,0,C_detected_unmatched,nutrient_mislabelled
116.jpeg,sugars,1.4,1,0,0,C_detected_unmatched,nutrient_mislabelled
118.jpeg,energy,1440.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,energy,344.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,fat,10.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,carbohydrate,48.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,sugars,4.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
118.jpeg,sugaralcohols,21.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
118.jpeg,fibre,3.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,protein,24.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,salt,0.7,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,energy,1152.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,energy,275.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,fat,8.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,carbohydrate,38.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,sugars,3.2,1,0,0,C_detected_unmatched,nutrient_mislabelled
118.jpeg,sugaralcohols,17.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
118.jpeg,fibre,2.4,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,protein,19.0,1,0,0,C_detected_unmatched,gate_quantity_above
118.jpeg,salt,0.56,1,0,0,C_detected_unmatched,gate_quantity_above
119.jpeg,energy,1471.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
119.jpeg,energy,352.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
119.jpeg,carbohydrate,47.0,1,0,0,C_detected_unmatched,gate_quantity_above
119.jpeg,sugars,4.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
119.jpeg,sugaralcohols,21.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
