image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.jpeg,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumsalze der Citronensäure,MMagnesiumoxid,420,350,mg,mg,per_daily_dose,per_daily_dose,False,False,True,True,False,fast+llm,Magnesiumsalze der Citronensäure is not Magnesiumoxid.,420 mg does not match the predicted quantity of 350 mg.,mg matches with mg in both instances.,per_daily_dose context is consistent.
1.jpeg,Magnesiumoxid,MMagnesiumoxid,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumbisglycinat,Magnesiummalat,350,350,mg,mg,per_daily_dose,per_daily_dose,False,True,True,True,False,fast+llm,"Different compounds, Magnesiumbisglycinat vs Magnesiummalat.",Both quantities are the same (350).,Both units match ('mg').,"Different context terms, per_daily_dose vs Magnesiummalat."
1.jpeg,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
101.jpeg,Energie,Fett,383,0.8,kcal,g,per_100g,per_100g,False,True,True,True,False,fast+llm,Energie and Fett are different nutrients.,"383 kcal is a specific quantity, but the nutrient match failed.",kcal matches with kcal correctly.,The context 'per_100g' does not align as both nutrients are different.
101.jpeg,Fett,"-davon gesattigte Fettsauren <0,1g",0.8,0.8,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,The nutrient 'Fett' does not match '-davon gesattigte Fettsauren'.,Both quantities are the same (0.8g).,Unit 'g' is consistent.,"The context 'per_100g' does not match '-davon gesattigte Fettsauren <0,1g'."
101.jpeg,- davon gesättigte Fettsäuren,Kohlenhydrate,< 0.1,86.1,g,g,per_100g,per_100g,False,False,True,True,False,fast+llm,- davon gesättigte Fettsäuren != Kohlenhydrate,< 0.1 is not equal to 86.1,g matches g,- davon gesättigte Fettsäuren per_100g context match
101.jpeg,Kohlenhydrate,-davon Zucker,86.1,86.1,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,The nutrient 'Kohlenhydrate' does not match '-davon Zucker'.,Both quantities are the same.,Unit matches correctly as both use grams (g).,'per_100g' does not match 'pro Portion'.
101.jpeg,- davon Zucker,-davon Zucker,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Eiweiß,Salz,6.3,660'0,g,,per_100g,per_100g,False,False,True,True,False,fast+llm,Eiweiß and Salz are different nutrients.,6.3 is not equal to '660'0'.,'g' matches the unit specified in context ('per_100g').,
101.jpeg,Salz,Thiamin,0.09,,g,,per_100g,per_100g,False,True,True,True,False,fast+llm,"GT specifies 'Salz' while Pred suggests a different nutrient, Thiamin.",Both quantities are less than 0.1 and can be considered trace amounts.,g is equivalent to g in the context of nutritional data per serving or daily dose.,"'per_100g' specified for GT but Pred suggests 'Thiamin', which does not match."
101.jpeg,Thiamin,Natrium,0.44,36,mg,mg,per_100g,per_100g,False,True,True,True,False,fast+llm,Thiamin and Natrium are different nutrients.,"Both quantities '0.44' and '36' can be considered valid measurements for their respective contexts, though they differ significantly in magnitude.",'mg' is not a match with the expected units from German nutritional labels (usually mg or µg).,Both nutrients are provided per_100g context.
102.jpeg,Energie,Energie,1502,7.7,kJ,g,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Energie,Energie,356,1.0,kcal,g,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Fett,Fett,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,- davon gesättigte Fettsäuren,Fett,1.1,1.1,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,The nutrient '- davon gesättigte Fettsäuren' refers to a different sub-nutrient compared to 'Fett'.,Both quantities are the same.,Unit matches correctly as both use grams (g).,The context is consistent with per_100g.
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,1.1,g,g,per_100g,per_100g,True,False,True,True,False,fast,substring match,mismatch,alias match,alias match
102.jpeg,- davon Zucker,-davon gesattigte,31,7.7,g,g,per_100g,per_100g,False,False,True,True,False,fast+llm,-davon gesattigte is not the same as - davon Zucker.,31 and 7.7 are measurably different quantities,g matches g correctly,- von Zucker is a valid context
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,5.1,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,Eiweiß,-davon gesattigte,5.9,1.1,g,g,per_100g,per_100g,False,False,True,True,False,fast+llm,Eiweiß and '-davon gesattigte' refer to different nutrients.,5.9 mg is not equal to 1.1 g,'g' matches 'g'.,
102.jpeg,Salz,Salz,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,Energie,Fettsauren,188,1.1,kJ,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,fast+llm,The nutrient 'Energie' does not match with the expected nutrients listed in DOMAIN RULES.,The quantity of '188 kJ per serving (1 Riegel* (12.5 g))' is significantly different from '1.1 g'.,"Both quantities are expressed in the same unit, which supports a context match.",The nutrient and quantity do not align with expected values for per serving.
102.jpeg,Energie,Fettsauren,45,31,kcal,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,fast+llm,Energie is not equivalent to Fettsauren.,The quantities are different (45 kcal vs. 31 g).,"kcal matches with the given context units correctly, though it should be noted that 'per_serving' typically refers to energy content.",
102.jpeg,Fett,Kohlenhydrate,1.0,5.1,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,True,False,fast+llm,Fett and Kohlenhydrate are different nutrients.,1.0 g is not equal to 5.1 g,g matches with g correctly interpreted as grams.,per_serving context matched.
