image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.jpeg,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumsalze der Citronensäure,MMagnesiumoxid,420,350,mg,mg,per_daily_dose,per_daily_dose,False,False,True,True,False,fast+llm,The extracted nutrient 'Magnesiumsalze der Citronensäure' does not match the expected format for Magnesium.,The quantity of '420 mg' is inconsistent with a standard amount typically found in supplements labeled as pure magnesium oxide (MMagnesiumoxid).,Both units are correctly identified as milligrams ('mg').,The context 'per_daily_dose' does not align with the expected nutrient format for pure magnesium oxide.
1.jpeg,Magnesiumoxid,MMagnesiumoxid,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumbisglycinat,Magnesiummalat,350,350,mg,mg,per_daily_dose,per_daily_dose,False,True,True,True,False,fast+llm,"Different compounds, Magnesiumbisglycinat vs Magnesiummalat.",Both quantities are '350'.,"Both units are 'mg', which is equivalent to mg in this context.","Different contexts, per_daily_dose vs Magnesiummalat."
1.jpeg,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
101.jpeg,Energie,Fett,383,0.8,kcal,g,per_100g,per_100g,False,False,True,True,False,fast+llm,Energie is not equivalent to Fett.,The quantities do not match as expected for the nutrient 'Fett'.,kcal matches with kcal correctly translated from German context.,
101.jpeg,Fett,"-davon gesattigte Fettsauren <0,1g",0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,- davon gesättigte Fettsäuren,Kohlenhydrate,< 0.1,86.1,g,g,per_100g,per_100g,False,False,True,True,False,fast+llm,"The nutrient '- davon gesättigte Fettsäuren' refers to saturated fatty acids, not carbohydrates.",The quantity '86.1 g' does not match the specified '< 0.1'.,Unit 'g' is correctly matched with grams per 100g context.,
101.jpeg,Kohlenhydrate,-davon Zucker,86.1,86.1,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,The nutrient 'Kohlenhydrate' does not match '-davon Zucker'.,Both quantities are the same.,Unit matches as both use grams (g).,The context 'per_100g' does not match with '-davon Zucker'.
101.jpeg,- davon Zucker,-davon Zucker,8.9,8.9,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,"The prefix 'davon' indicates a sub-nutrient, which should be separated.",Both entries have the same quantity of 8.9 g.,Both units are correctly identified as grams (g).,The context 'per_100g' is not matched due to incorrect nutrient representation.
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Eiweiß,Salz,6.3,660'0,g,,per_100g,per_100g,False,False,True,True,False,fast+llm,Eiweiß and Salz are different nutrients.,6.3 is not equal to '660'0'.,g matches with g in the context per_100g.,
101.jpeg,Salz,Thiamin,0.09,,g,,per_100g,per_100g,False,False,True,True,False,fast+llm,Salz is not Thiamin.,,g matches g,per_100g context match.
101.jpeg,Thiamin,Natrium,0.44,36,mg,mg,per_100g,per_100g,False,False,True,True,False,fast+llm,Thiamin and Natrium are different nutrients.,0.44 mg is not equal to 36 mg.,mg matches with mg in the context 'per_100g'.,
102.jpeg,Energie,Energie,1502,7.7,kJ,g,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Energie,Energie,356,1.0,kcal,g,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Fett,Fett,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,- davon gesättigte Fettsäuren,Fett,1.1,1.1,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,1.1,g,g,per_100g,per_100g,True,False,True,True,False,fast,substring match,mismatch,alias match,alias match
102.jpeg,- davon Zucker,-davon gesattigte,31,7.7,g,g,per_100g,per_100g,False,False,True,True,False,fast+llm,The nutrient '- davon Zucker' is not a recognized term in the given rules.,There seems to be an inconsistency with quantity values provided ('31g' vs '7.7g').,The unit 'g' matches correctly as per the domain rules for grams.,"Both '- davon Zucker' and 'per_100g' relate to nutritional context, though nutrient mismatch invalidates this."
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,5.1,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,Eiweiß,-davon gesattigte,5.9,1.1,g,g,per_100g,per_100g,False,False,True,True,False,fast+llm,Eiweiß vs -davon gesattigte,,g is a valid unit for both quantities.,Both refer to per_100g context.
102.jpeg,Salz,Salz,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,Energie,Fettsauren,188,1.1,kJ,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,fast+llm,Energie is not equivalent to Fettsauren.,188 kJ does not match the quantity of Fat in grams per serving contextually.,kJ matches with energy units used for nutrients like Fett (Fat).,"per_serving is related to a specific portion, while Fettsauren refers generally."
102.jpeg,Energie,Fettsauren,45,31,kcal,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,fast+llm,Energie is not equivalent to Fettsauren.,31 g does not match the quantity implied by per_serving context for Energie,"kcal matches with kcal in given data, though it should be checked if 'per_serving' implies energy content.",
102.jpeg,Fett,Kohlenhydrate,1.0,5.1,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,fast+llm,Fett and Kohlenhydrate are different nutrients.,1.0 g is not equal to 5.1 g,g matches with g in both instances.,
102.jpeg,- davon gesättigte Fettsäuren,Ballaststoffe,0.1,31,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,fast+llm,The nutrient '- davon gesättigte Fettsäuren' does not match 'Ballaststoffe'.,The quantity '0.1 g' for '- davon gesättigte Fettsäuren' is different from the predicted '31 g' of Ballaststoffe.,Both quantities are expressed in grams ('g').,'per_serving (1 Riegel* (12.5 g))' context does not match with 'per_100g'.
102.jpeg,Kohlenhydrate,Salz,7.9,5.9,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,True,True,False,False,fast+llm,The extracted nutrient 'Kohlenhydrate' does not match the expected context of 'per_serving'.,Both quantities are numerically consistent.,Both units (g) correctly represent grams in nutritional data.,The context 'per_serving' does not match the expected nutrient type of 'Salz'.
103.jpeg,Energie,Energie,1383,328,kJ,kcal,per_100g,,True,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Energie,Energie,328,3.7,kcal,kcal,per_100g,,True,False,True,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Fett,Fett,3.7,328,g,kcal,per_100g,,True,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
