image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.jpeg,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumsalze der Citronensäure,MMagnesiumoxid,420,350,mg,mg,per_daily_dose,per_daily_dose,False,True,True,True,False,fast+llm,Magnesiumsalze der Citronensäure != Magnesiumoxid,< 0.1 = '420' = '350',mg = mg,per_daily_dose = per_daily_dose
1.jpeg,Magnesiumoxid,MMagnesiumoxid,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumbisglycinat,Magnesiummalat,350,350,mg,mg,per_daily_dose,per_daily_dose,False,True,True,True,False,fast+llm,Magnesiumbisglycinat and Magnesiummalat are different forms of magnesium.,Both have the same quantity value of 350 mg.,Both use milligrams (mg) as the unit.,Both are specified per daily dose.
1.jpeg,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
101.jpeg,Energie,Fett,383,0.8,kcal,g,per_100g,per_100g,False,False,True,True,False,fast+llm,Energie and Fett are different nutrients.,383 kcal is not equal to 0.8 g.,"kcal and g are different units, but the context 'per_100g' is the same.",both have the context 'per_100g'.
101.jpeg,Fett,"-davon gesattigte Fettsauren <0,1g",0.8,0.8,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,Fett and -davon gesattigte Fettsauren are different nutrients.,"0.8g is not a trace amount, while <0.1g indicates a trace amount.",Both use 'g' as the unit.,Both have the context 'per_100g'.
101.jpeg,- davon gesättigte Fettsäuren,Kohlenhydrate,< 0.1,86.1,g,g,per_100g,per_100g,False,False,True,True,False,fast+llm,-davon gesättigte Fettsäuren is a sub-nutrient of Fett and does not match Kohlenhydrate.,'< 0.1' and '86.1' are measurably different quantities.,Both use 'g' as the unit of measurement.,Both have the context 'per_100g'.
101.jpeg,Kohlenhydrate,-davon Zucker,86.1,86.1,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,"'-davon Zucker' is a sub-nutrient of 'Kohlenhydrate', not the same nutrient.",Both quantities are identical: 86.1 g,Both units are in grams (g),Both contexts are per 100g
101.jpeg,- davon Zucker,-davon Zucker,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Eiweiß,Salz,6.3,660'0,g,,per_100g,per_100g,False,False,True,True,False,fast+llm,Eiweiß (Protein) and Salz are different nutrients.,6.3 g != 660.0 g,Both have units of 'g' (grams).,per_100g is the same context in both.
101.jpeg,Salz,Thiamin,0.09,,g,,per_100g,per_100g,False,True,True,True,False,fast+llm,Salz does not match Thiamin.,Both quantities are trace amounts (0.09g and None).,Both units are in grams (g).,Both contexts are per_100g.
101.jpeg,Thiamin,Natrium,0.44,36,mg,mg,per_100g,per_100g,False,True,True,True,False,fast+llm,Different nutrient names.,"Quantities are numerically different but both in mg, considered trace amounts.",Both units are mg.,Same context per_100g.
102.jpeg,Energie,Energie,1502,7.7,kJ,g,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Energie,Energie,356,1.0,kcal,g,per_100g,per_100g,True,False,False,True,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Fett,Fett,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,- davon gesättigte Fettsäuren,Fett,1.1,1.1,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,Fett and -davon gesättigte Fettsäuren are different nutrients.,Both have the same quantity value of 1.1 g.,Both use grams (g) as the unit.,Both have the context 'per_100g'.
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,1.1,g,g,per_100g,per_100g,True,False,True,True,False,fast,substring match,mismatch,alias match,alias match
102.jpeg,- davon Zucker,-davon gesattigte,31,7.7,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,"'-davon gesattigte' is a sub-nutrient of '- davon Zucker', they are different nutrients.",Both quantities are within the same range and considered trace amounts.,The units 'g' match exactly.,Both have the context 'per_100g'.
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,5.1,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,Eiweiß,-davon gesattigte,5.9,1.1,g,g,per_100g,per_100g,False,True,True,True,False,fast+llm,"'-davon gesattigte' is a sub-nutrient of 'Eiweiß', not the same nutrient.","Both quantities are 1.1 and 5.9 g, which are considered trace amounts in this context.",Both units are 'g'.,Both contexts are 'per_100g'.
102.jpeg,Salz,Salz,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,Energie,Fettsauren,188,1.1,kJ,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,True,False,fast+llm,"Fettsauren != Fett, and Energie != Energy",'188' != '1.1',"ug=mcg=µg, IE=IU, kJ != kcal.","per_100g=je 100g=pro 100g, per_serving=pro Portion=je Kapsel, per_daily_dose=je Tagesdosis=pro Tagesdosis."
102.jpeg,Energie,Fettsauren,45,31,kcal,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,True,False,fast+llm,"Fettsauren != Fett, and Energie != Energy",'45' != '31',kcal = kcal,per_serving=pro Portion
102.jpeg,Fett,Kohlenhydrate,1.0,5.1,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,True,False,fast+llm,Fett != Kohlenhydrate,< 0.1 != 5.1,g = g,per_100g = per_100g
102.jpeg,- davon gesättigte Fettsäuren,Ballaststoffe,0.1,31,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,fast+llm,'- davon gesättigte Fettsäuren' != 'Ballaststoffe','0.1' != '31',both are in grams (g),'per_serving' != 'per_100g'
102.jpeg,Kohlenhydrate,Salz,7.9,5.9,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,fast+llm,Kohlenhydrate != Salz,< 0.1 != 5.9,g = g,per_serving != per_100g
103.jpeg,Energie,Energie,1383,328,kJ,kcal,per_100g,,True,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Energie,Energie,328,3.7,kcal,kcal,per_100g,,True,False,True,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Fett,Fett,3.7,328,g,kcal,per_100g,,True,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,davon gesättigte Fettsäuren,Fett,0.4,0.4,g,g,per_100g,,False,True,True,True,False,fast+llm,davon gesättigte Fettsäuren != Fett,< 0.1 = '0.4' -> quantity_match: true,g = g,per_100g = je 100g
103.jpeg,Kohlenhydrate,Kohlenhydrate,51,51,g,g,per_100g,,True,True,True,False,False,fast,substring match,numeric match,alias match,mismatch
103.jpeg,davon Zucker,davon Zucker,51,51,g,g,per_100g,,True,True,True,False,False,fast,substring match,numeric match,alias match,mismatch
103.jpeg,Ballaststoffe,Ballaststoffe,16,7.7,g,g,per_100g,,True,False,True,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Eiweiß,davon gesattigte,7.7,0.4,g,g,per_100g,,False,False,True,True,False,fast+llm,Eiweiß and davon gesattigte are different nutrients.,Quantities 7.7g and 0.4g are measurably different.,Both units are 'g'.,"Context is per_100g in both cases, even though the predicted context is missing."
103.jpeg,Salz,Salz,0,7.7,g,g,per_100g,,True,False,True,False,False,fast,substring match,mismatch,alias match,mismatch
103.jpeg,Energie,davon gesattigte,166,3.7,kJ,kcal,per_serving (pro Port. (12g)),,False,False,False,True,False,fast+llm,Energie is not the same as davon gesattigte.,Units are different (kJ vs kcal).,"ug, mcg, and µg are equivalent units.",per_serving is the same as pro Portion.
103.jpeg,Energie,Fettsauren,39,0.4,kcal,g,per_serving (pro Port. (12g)),,False,False,True,False,False,fast+llm,"Fettsauren != Fett, and Energie != Energy",'39' != '0.4',"ug=mcg=µg, IE=IU, kJ != kcal.",per_serving vs None
103.jpeg,Fett,Fettsauren,0.4,51,g,g,per_serving (pro Port. (12g)),,False,False,True,True,False,fast+llm,Fett != Fettsauren,< 0.1 != 51,g = g,per_serving (pro Portion) = per_serving (pro Portion)
103.jpeg,davon gesättigte Fettsäuren,Ballaststoffe,0,51,g,g,per_serving (pro Port. (12g)),,False,False,True,True,False,fast+llm,davon gesättigte Fettsäuren != Ballaststoffe,'0' != '51',g = g,per_serving (pro Portion) = per_serving (pro Port. (12g))
103.jpeg,Kohlenhydrate,Salz,6.1,66'0,g,g,per_serving (pro Port. (12g)),,False,False,True,True,False,fast+llm,Kohlenhydrate != Salz,'6.1' != '66.0',g = g,per_serving (pro Portion) is a context variation
104.jpeg,Energie,Energie,1528,361,kJ,kcal,per_100g,,True,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Energie,Energie,361,100,kcal,g,per_100g,,True,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
104.jpeg,Fett,Fett,2.6,361,g,kcal,per_100g,,True,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
