image_id,gt_nutrient,pred_nutrient,gt_quantity,pred_quantity,gt_unit,pred_unit,gt_context,pred_context,nutrient_match,quantity_match,unit_match,context_match,full_match_3f,full_match_4f,eval_method,nutrient_reason,quantity_reason,unit_reason,context_reason
1.jpeg,Magnesium (gesamt),Magnesium (gesamt,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumsalze der Citronensäure,MMagnesiumoxid,420,350,mg,mg,per_daily_dose,per_daily_dose,False,False,True,True,False,False,fast+llm,"R1 - 'Magnesiumsalze der Citronensäure' is a specific form of magnesium, while 'MMagnesiumoxid' is a general form.",R6 - Both values are above the trace amount threshold and do not match exactly within tolerance.,R10 - mg matches mg,R12 & R13 - 'per_daily_dose' matches after stripping serving size suffix
1.jpeg,Magnesiumoxid,MMagnesiumoxid,400,400,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
1.jpeg,Magnesiumbisglycinat,Magnesiummalat,350,350,mg,mg,per_daily_dose,per_daily_dose,False,True,True,True,False,False,fast+llm,R1 -- SPECIFICITY: 'Magnesiummalat' is a shorter name that contains the longer compound name 'Magnesiumbisglycinat'.,"350 == 350, within +/-0.05 tolerance.",mg = mg,per_daily_dose = per_daily_dose
1.jpeg,Magnesiummalat,Magnesiummalat,333,333,mg,mg,per_daily_dose,per_daily_dose,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Energie,Energie,1625,,kJ,,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
101.jpeg,Energie,Fett,383,0.8,kcal,g,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Fett' is a sub-nutrient of 'Energie',R6 - Predicted quantity (0.8) and ground truth quantity (383) are not trace amounts and do not match,R10 - 'g' does not equal 'kcal',"R12 - Both have 'per_100g', which matches after stripping serving size suffix"
101.jpeg,Fett,"-davon gesattigte Fettsauren <0,1g",0.8,0.8,g,g,per_100g,per_100g,True,True,True,True,True,True,fast+llm,"R1 does not apply, both are 'Fett' (fat) with OCR noise.",0.8g in prediction is not a trace amount and does not match the ground truth of '0.8g'.,"Both have units of 'g', which matches R10.","Both contexts are 'per_100g' after stripping serving size suffix, matching R12."
101.jpeg,- davon gesättigte Fettsäuren,Kohlenhydrate,< 0.1,86.1,g,g,per_100g,per_100g,False,False,True,True,False,False,fast+llm,R1 - 'Kohlenhydrate' is a parent nutrient of '- davon gesättigte Fettsäuren'.,R6 - Predicted quantity (86.1) and ground truth quantity ('< 0.1') are not both <= 0.1.,R10 - 'g' is equivalent to 'g'.,"R12 - Both contexts are stripped to 'per_100g', which matches."
101.jpeg,Kohlenhydrate,-davon Zucker,86.1,86.1,g,g,per_100g,per_100g,False,True,True,True,False,False,fast+llm,R1 - 'Kohlenhydrate' is a parent nutrient of '-davon Zucker'.,Values are the same and within tolerance.,Both have 'g' as unit.,"Contexts are both 'per_100g', after stripping serving size suffix."
101.jpeg,- davon Zucker,-davon Zucker,8.9,8.9,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Ballaststoffe,Ballaststoffe,3.0,3.0,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
101.jpeg,Eiweiß,Salz,6.3,660'0,g,,per_100g,per_100g,False,False,False,True,False,False,fast+llm,R1 - 'Eiweiß' is a short name that does not match the longer compound name 'Salz'.,R6 - Both values are greater than 0.1 and do not match.,R10 - The predicted unit is missing while the ground truth has a unit.,
101.jpeg,Salz,Thiamin,0.09,,g,,per_100g,per_100g,False,False,True,True,False,False,fast+llm,R1 - Thiamin is a different nutrient than Salz,R6 - Predicted quantity is missing and ground truth is non-zero,"Both unit fields are 'per_100g', which matches according to R10","Both context fields are 'per_100g' after stripping serving size suffix, which matches according to R12 and R13"
101.jpeg,Thiamin,Natrium,0.44,36,mg,mg,per_100g,per_100g,False,False,True,True,False,False,fast+llm,"R1: 'Natrium' is a sub-nutrient of 'Sodium', and does not match the parent nutrient 'Thiamin'.","R6: Both quantities are greater than 0.1, and do not match.",R10: 'mg' in the ground truth does not match 'mg' in the prediction as they refer to different nutrients.,The context is correctly identified as 'per_100g' for both.
102.jpeg,Energie,Energie,1502,7.7,kJ,g,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Energie,Energie,356,1.0,kcal,g,per_100g,per_100g,True,False,False,True,False,False,fast,substring match,mismatch,mismatch,alias match
102.jpeg,Fett,Fett,7.7,7.7,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,- davon gesättigte Fettsäuren,Fett,1.1,1.1,g,g,per_100g,per_100g,False,True,True,True,False,False,fast+llm,R1 -- SPECIFICITY: 'Fett' does not match '- davon gesättigte Fettsäuren'.,R7 -- NUMERIC EQUALITY: Both quantities are equal and within the allowed tolerance.,R10 -- UNIT ALIASES: 'g' is an alias for 'gram'.,R12 -- STRIP SERVING SIZE SUFFIX: Both contexts strip to 'per_100g'.
102.jpeg,Kohlenhydrate,Kohlenhydrate,63,1.1,g,g,per_100g,per_100g,True,False,True,True,False,False,fast,substring match,mismatch,alias match,alias match
102.jpeg,- davon Zucker,-davon gesattigte,31,7.7,g,g,per_100g,per_100g,False,False,True,True,False,False,fast+llm,"R1 - 'davon Zucker' is a sub-nutrient of 'Energie', but the prediction does not match any known sugar-related nutrient.",R6 - The quantities do not independently meet the trace amount criteria and are significantly different.,"R10 - Both units are 'g', which matches according to the rule.","R12/R13 - Both contexts are 'per_100g' after stripping serving size suffixes, matching the rule."
102.jpeg,Ballaststoffe,Ballaststoffe,5.1,5.1,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,Eiweiß,-davon gesattigte,5.9,1.1,g,g,per_100g,per_100g,False,False,True,True,False,False,fast+llm,R1 - 'Eiweiß' vs '-davon gesattigte',R6 - Neither value is a trace amount and they do not match within the tolerance.,"Both are in grams, so unit_match=true.","Both contexts are 'per_100g', so context_match=true."
102.jpeg,Salz,Salz,0.14,0.14,g,g,per_100g,per_100g,True,True,True,True,True,True,fast,exact/substring match,numeric match,alias match,alias match
102.jpeg,Energie,Fettsauren,188,1.1,kJ,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False,False,fast+llm,R1: 'Energie' vs 'Fettsauren',R6: 188 != 1.1 and both are >0.1,R10: kJ != g,R12: per_serving (1 Riegel* (12.5 g)) vs per_100g
102.jpeg,Energie,Fettsauren,45,31,kcal,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,False,False,False,False,fast+llm,R1 - 'Energie' vs 'Fettsauren',R6 - Both values are above trace amount threshold and do not match,R10 - kcal != kJ,R12 - per_serving (1 Riegel* (12.5 g)) vs per_100g
102.jpeg,Fett,Kohlenhydrate,1.0,5.1,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,False,fast+llm,R1: 'Fett' vs 'Kohlenhydrate',R6: 1.0 != 5.1 and both are > 0.1,R10: 'g' (for Fett) != 'g' (for Kohlenhydrate),R12: 'per_serving (1 Riegel* (12.5 g))' != 'per_100g'
102.jpeg,- davon gesättigte Fettsäuren,Ballaststoffe,0.1,31,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,False,fast+llm,R1: 'Ballaststoffe' is a short name that does not match the longer compound name 'davon gesättigte Fettsäuren'.,R6: The quantities do not independently meet the trace amount criteria (both <= 0.1).,"R10: 'g' and 'g' are equivalent, but 'per_serving (1 Riegel* (12.5 g))' does not match 'per_100g'.",R12: The serving size context does not match.
102.jpeg,Kohlenhydrate,Salz,7.9,5.9,g,g,per_serving (1 Riegel* (12.5 g)),per_100g,False,False,True,False,False,False,fast+llm,R1: 'Salz' is a short name that does not match the longer compound name 'Kohlenhydrate'.,The quantities do not match and are outside the +/-0.05 tolerance.,"The units do not match as 'g' (grams) is for carbohydrates, while 'g' could be for salt in this context.",R12: The serving sizes differ ('per_serving (1 Riegel* (12.5 g))' vs 'per_100g').
103.jpeg,Energie,Energie,1383,328,kJ,kcal,per_100g,,True,False,False,False,False,False,fast,substring match,mismatch,mismatch,mismatch
103.jpeg,Energie,Energie,328,3.7,kcal,kcal,per_100g,,True,False,True,False,False,False,fast,substring match,mismatch,alias match,mismatch
